File,Line,Pattern Type,Unwrapped Text,Context
"templates/business_auth/audit_logs.html",146,"Divs with text","{{ log.resource_type or 'Resource' }}: {{ log.resource_name }}","<div class=""audit-resource"">                                         {{ log.resource_type or 'Resour"
"templates/business_auth/audit_logs.html",161,"Headings (h1-h6)","No Activity Yet","<h3>No Activity Yet</h3>"
"templates/business_auth/audit_logs.html",162,"Paragraphs","No audit logs found for the selected filters. Try adjusting your filters or create some test data to get started.","<p>No audit logs found for the selected filters. Try adjusting your filters or create some test data"
"templates/business_auth/audit_logs.html",169,"ARIA labels","Pagination","aria-label=""Pagination"""
"templates/business_auth/audit_logs.html",173,"ARIA labels","Go to previous page","aria-label=""Go to previous page"""
"templates/business_auth/audit_logs.html",184,"Spans","Page {{ pagination.page }}","<span class=""audit-pagination-info"" aria-current=""page"">Page {{ pagination.page }}</span>"
"templates/business_auth/audit_logs.html",189,"ARIA labels","Go to next page","aria-label=""Go to next page"""
"templates/business_auth/brand_config.html",59,"Paragraphs","{{ branding_config.logo_filename if branding_config.logo_filename else _('No logo') ~ ' uploaded' }}","<p class=""brand-preview-value {{ 'empty' if not branding_config.logo_filename else '' }}"">          "
"templates/business_auth/brand_config.html",68,"Paragraphs","{{ branding_config.get_company_display_name() }}
                        {% if not branding_config.company_display_name %}(default: {{ business_account.name }}){% endif %}","<p class=""brand-preview-value {{ 'empty' if not branding_config.company_display_name else '' }}"">   "
"templates/business_auth/brand_config.html",79,"Value attributes (buttons/inputs)","{{ csrf_token() }}","value=""{{ csrf_token() }}"""
"templates/business_auth/brand_config.html",94,"Value attributes (buttons/inputs)","{{ branding_config.company_display_name if branding_config.company_display_name else '' }}","value=""{{ branding_config.company_display_name if branding_config.company_display_name else '' }}"""
"templates/business_auth/brand_config.html",95,"Placeholder attributes","{{ business_account.name }}","placeholder=""{{ business_account.name }}"""
"templates/business_auth/brand_config.html",118,"Value attributes (buttons/inputs)","{{ branding_config.primary_color if branding_config.primary_color else '#dc3545' }}","value=""{{ branding_config.primary_color if branding_config.primary_color else '#dc3545' }}"""
"templates/business_auth/brand_config.html",132,"Value attributes (buttons/inputs)","{{ branding_config.secondary_color if branding_config.secondary_color else '#6c757d' }}","value=""{{ branding_config.secondary_color if branding_config.secondary_color else '#6c757d' }}"""
"templates/business_auth/brand_config.html",149,"Value attributes (buttons/inputs)","{{ branding_config.accent_color if branding_config.accent_color else '#28a745' }}","value=""{{ branding_config.accent_color if branding_config.accent_color else '#28a745' }}"""
"templates/business_auth/brand_config.html",163,"Value attributes (buttons/inputs)","{{ branding_config.text_color if branding_config.text_color else '#212529' }}","value=""{{ branding_config.text_color if branding_config.text_color else '#212529' }}"""
"templates/business_auth/brand_config.html",180,"Value attributes (buttons/inputs)","{{ branding_config.background_color if branding_config.background_color else '#ffffff' }}","value=""{{ branding_config.background_color if branding_config.background_color else '#ffffff' }}"""
"templates/business_auth/brand_config.html",190,"ARIA labels","Color palette preview","aria-label=""Color palette preview"""
"templates/business_auth/brand_config.html",194,"Title attributes","Primary color","title=""Primary color"""
"templates/business_auth/brand_config.html",198,"Title attributes","Secondary color","title=""Secondary color"""
"templates/business_auth/brand_config.html",202,"Title attributes","Accent color","title=""Accent color"""
"templates/business_auth/brand_config.html",231,"ARIA labels","Upload requirements","aria-label=""Upload requirements"""
"templates/business_auth/brand_config.html",250,"ARIA labels","Save brand settings","aria-label=""Save brand settings"""
"templates/business_auth/business_account_onboarding.html",21,"Headings (h1-h6)","Business Account Onboarding","<h1 class=""onboarding-header-title"">Business Account Onboarding</h1>"
"templates/business_auth/business_account_onboarding.html",22,"Paragraphs","Create a new business account and invite the account administrator","<p class=""onboarding-header-subtitle"">Create a new business account and invite the account administr"
"templates/business_auth/business_account_onboarding.html",33,"ARIA labels","Close","aria-label=""Close"""
"templates/business_auth/business_account_onboarding.html",55,"Value attributes (buttons/inputs)","{{ csrf_token() }}","value=""{{ csrf_token() }}"""
"templates/business_auth/business_account_onboarding.html",63,"Headings (h1-h6)","Business Account Information","<h3 class=""section-title"">Business Account Information</h3>"
"templates/business_auth/business_account_onboarding.html",74,"Placeholder attributes","Enter the complete business name","placeholder=""Enter the complete business name"""
"templates/business_auth/business_account_onboarding.html",78,"Divs with text","This will be displayed throughout the platform and in communications","<div class=""form-text"">This will be displayed throughout the platform and in communications</div>"
"templates/business_auth/business_account_onboarding.html",93,"Value attributes (buttons/inputs)","{{ template_id }}","value=""{{ template_id }}"""
"templates/business_auth/business_account_onboarding.html",102,"Divs with text","Choose the license tier that best fits the business needs","<div class=""form-text"">Choose the license tier that best fits the business needs</div>"
"templates/business_auth/business_account_onboarding.html",112,"Headings (h1-h6)","Account Administrator Information","<h3 class=""section-title"">Account Administrator Information</h3>"
"templates/business_auth/business_account_onboarding.html",124,"Placeholder attributes","Administrator's first name","placeholder=""Administrator's first name"""
"templates/business_auth/business_account_onboarding.html",138,"Placeholder attributes","Administrator's last name","placeholder=""Administrator's last name"""
"templates/business_auth/business_account_onboarding.html",153,"Placeholder attributes","admin@company.com","placeholder=""admin@company.com"""
"templates/business_auth/business_account_onboarding.html",157,"Divs with text","The administrator will receive an invitation email at this address","<div class=""form-text"">The administrator will receive an invitation email at this address</div>"
"templates/business_auth/business_account_onboarding.html",168,"Spans","the administrator","<span id=""email-preview"">the administrator</span>"
"templates/business_auth/business_account_onboarding.html",169,"Spans","business name","<span id=""business-preview"">business name</span>"
"templates/business_auth/email_config.html",22,"Paragraphs","Configure SMTP settings for {{ business_account.name }}","<p>Configure SMTP settings for {{ business_account.name }}</p>"
"templates/business_auth/email_config.html",48,"Value attributes (buttons/inputs)","{{ csrf_token() }}","value=""{{ csrf_token() }}"""
"templates/business_auth/email_config.html",60,"Labels","Email Provider *","<label class=""email-form-label"" for=""email_provider"">Email Provider *</label>"
"templates/business_auth/email_config.html",68,"Value attributes (buttons/inputs)","smtp","value=""smtp"""
"templates/business_auth/email_config.html",69,"Value attributes (buttons/inputs)","aws_ses","value=""aws_ses"""
"templates/business_auth/email_config.html",71,"Divs with text","Choose your email delivery provider","<div class=""email-help-text"" id=""email_provider_help"">Choose your email delivery provider</div>"
"templates/business_auth/email_config.html",78,"Labels","AWS Region *","<label class=""email-form-label"" for=""aws_region"">AWS Region *</label>"
"templates/business_auth/email_config.html",84,"Value attributes (buttons/inputs)","us-east-1","value=""us-east-1"""
"templates/business_auth/email_config.html",85,"Value attributes (buttons/inputs)","us-east-2","value=""us-east-2"""
"templates/business_auth/email_config.html",86,"Value attributes (buttons/inputs)","us-west-1","value=""us-west-1"""
"templates/business_auth/email_config.html",87,"Value attributes (buttons/inputs)","us-west-2","value=""us-west-2"""
"templates/business_auth/email_config.html",88,"Value attributes (buttons/inputs)","ca-central-1","value=""ca-central-1"""
"templates/business_auth/email_config.html",89,"Value attributes (buttons/inputs)","eu-west-1","value=""eu-west-1"""
"templates/business_auth/email_config.html",90,"Value attributes (buttons/inputs)","eu-west-2","value=""eu-west-2"""
"templates/business_auth/email_config.html",91,"Value attributes (buttons/inputs)","eu-west-3","value=""eu-west-3"""
"templates/business_auth/email_config.html",92,"Value attributes (buttons/inputs)","eu-central-1","value=""eu-central-1"""
"templates/business_auth/email_config.html",93,"Value attributes (buttons/inputs)","ap-south-1","value=""ap-south-1"""
"templates/business_auth/email_config.html",94,"Value attributes (buttons/inputs)","ap-northeast-1","value=""ap-northeast-1"""
"templates/business_auth/email_config.html",95,"Value attributes (buttons/inputs)","ap-northeast-2","value=""ap-northeast-2"""
"templates/business_auth/email_config.html",96,"Value attributes (buttons/inputs)","ap-southeast-1","value=""ap-southeast-1"""
"templates/business_auth/email_config.html",97,"Value attributes (buttons/inputs)","ap-southeast-2","value=""ap-southeast-2"""
"templates/business_auth/email_config.html",98,"Value attributes (buttons/inputs)","sa-east-1","value=""sa-east-1"""
"templates/business_auth/email_config.html",122,"Value attributes (buttons/inputs)","{{ email_config.smtp_server if email_config else '' }}","value=""{{ email_config.smtp_server if email_config else '' }}"""
"templates/business_auth/email_config.html",123,"Placeholder attributes","smtp.gmail.com","placeholder=""smtp.gmail.com"""
"templates/business_auth/email_config.html",141,"Labels","Port *","<label class=""email-form-label"" for=""smtp_port"">Port *</label>"
"templates/business_auth/email_config.html",146,"Value attributes (buttons/inputs)","{{ email_config.smtp_port if email_config else '587' }}","value=""{{ email_config.smtp_port if email_config else '587' }}"""
"templates/business_auth/email_config.html",167,"Value attributes (buttons/inputs)","{{ email_config.smtp_username if email_config else '' }}","value=""{{ email_config.smtp_username if email_config else '' }}"""
"templates/business_auth/email_config.html",168,"Placeholder attributes","your-email@domain.com","placeholder=""your-email@domain.com"""
"templates/business_auth/email_config.html",184,"Placeholder attributes","Enter SMTP password","placeholder=""Enter SMTP password"""
"templates/business_auth/email_config.html",237,"Value attributes (buttons/inputs)","{{ email_config.sender_name if email_config else business_account.name + ' Team' }}","value=""{{ email_config.sender_name if email_config else business_account.name + ' Team' }}"""
"templates/business_auth/email_config.html",238,"Placeholder attributes","Your Company Name","placeholder=""Your Company Name"""
"templates/business_auth/email_config.html",252,"Value attributes (buttons/inputs)","{{ email_config.sender_email if email_config else '' }}","value=""{{ email_config.sender_email if email_config else '' }}"""
"templates/business_auth/email_config.html",253,"Placeholder attributes","noreply@yourcompany.com","placeholder=""noreply@yourcompany.com"""
"templates/business_auth/email_config.html",268,"Value attributes (buttons/inputs)","{{ email_config.reply_to_email if email_config and email_config.reply_to_email else '' }}","value=""{{ email_config.reply_to_email if email_config and email_config.reply_to_email else '' }}"""
"templates/business_auth/email_config.html",269,"Placeholder attributes","support@yourcompany.com","placeholder=""support@yourcompany.com"""
"templates/business_auth/email_config.html",288,"Value attributes (buttons/inputs)","{{ email_config.get_admin_emails() | join(', ') if email_config and email_config.get_admin_emails() else '' }}","value=""{{ email_config.get_admin_emails() | join(', ') if email_config and email_config.get_admin_em"
"templates/business_auth/email_config.html",289,"Placeholder attributes","admin@yourcompany.com, manager@yourcompany.com","placeholder=""admin@yourcompany.com, manager@yourcompany.com"""
"templates/business_auth/email_config.html",331,"Value attributes (buttons/inputs)","{{ email_config.custom_subject_template if email_config else '' }}","value=""{{ email_config.custom_subject_template if email_config else '' }}"""
"templates/business_auth/email_config.html",332,"Placeholder attributes","Your feedback is requested: {campaign_name}","placeholder=""Your feedback is requested: {campaign_name}"""
"templates/business_auth/email_config.html",347,"Placeholder attributes","{business_account_name} is requesting your valuable feedback through our Voice of Client system.","placeholder=""{business_account_name} is requesting your valuable feedback through our Voice of Clien"
"templates/business_auth/email_config.html",364,"Value attributes (buttons/inputs)","{{ email_config.custom_cta_text if email_config else '' }}","value=""{{ email_config.custom_cta_text if email_config else '' }}"""
"templates/business_auth/email_config.html",365,"Placeholder attributes","Complete Your Survey","placeholder=""Complete Your Survey"""
"templates/business_auth/email_config.html",380,"Placeholder attributes","Your feedback helps improve services and experiences. The survey should take just a few minutes to complete.&#10;&#10;Thank you for your time and valuable insights!","placeholder=""Your feedback helps improve services and experiences. The survey should take just a few"
"templates/business_auth/email_config.html",394,"Placeholder attributes","This is an automated message. If you have any questions, please contact the organization that sent this survey.","placeholder=""This is an automated message. If you have any questions, please contact the organizatio"
"templates/business_auth/email_config.html",486,"Placeholder attributes","test@example.com","placeholder=""test@example.com"""
"templates/business_auth/email_config.html",618,"Paragraphs","Preview failed: ' + (data.error || 'Unknown error') + '","<p style=""color: #dc3545;"">Preview failed: ' + (data.error || 'Unknown error') + '</p>"
"templates/business_auth/email_config.html",622,"Paragraphs","Network error: ' + error.message + '","<p style=""color: #dc3545;"">Network error: ' + error.message + '</p>"
"templates/business_auth/forgot_password.html",27,"ARIA labels","Close","aria-label=""Close"""
"templates/business_auth/forgot_password.html",37,"Value attributes (buttons/inputs)","{{ csrf_token() }}","value=""{{ csrf_token() }}"""
"templates/business_auth/license_info.html",27,"ARIA labels","Account type","aria-label=""Account type"""
"templates/business_auth/license_info.html",64,"Divs with text","License Purchase Date","<div class=""license-date-label"">License Purchase Date</div>"
"templates/business_auth/license_info.html",65,"Divs with text","{% if license_start %}
                            {{ license_start.strftime('%B %d, %Y') }}
                        {% else %}
                            Not Available
                        {% endif %}","<div class=""license-date-value"">                         {% if license_start %}                     "
"templates/business_auth/license_info.html",72,"Divs with text","{% if license_start %}
                            {{ license_start.strftime('%A') }} - {{ days_since_activation if days_since_activation is defined else 0 }} days ago (activation date)
                        {% else %}
                            Trial account or missing license data
                        {% endif %}","<div class=""license-date-meta"">                         {% if license_start %}                      "
"templates/business_auth/license_info.html",87,"Divs with text","License Expiry Date","<div class=""license-date-label"">License Expiry Date</div>"
"templates/business_auth/license_info.html",88,"Divs with text","{% if license_end %}
                            {{ license_end.strftime('%B %d, %Y') }}
                        {% else %}
                            Not Set
                        {% endif %}","<div class=""license-date-value"">                         {% if license_end %}                       "
"templates/business_auth/license_info.html",95,"Divs with text","{% if days_remaining is not none %}
                            {% if days_remaining > 0 %}
                                {{ days_remaining }} days remaining
                            {% elif days_remaining == 0 %}
                                Expires today
                            {% else %}
                                Expired
                            {% endif %}
                        {% else %}
                            Trial account or no expiration set
                        {% endif %}","<div class=""license-date-meta"">                         {% if days_remaining is not none %}         "
"templates/business_auth/license_info.html",114,"ARIA labels","License period details","aria-label=""License period details"""
"templates/business_auth/license_info.html",120,"Divs with text","License Period","<div class=""license-info-label"">License Period</div>"
"templates/business_auth/license_info.html",130,"Divs with text","License Duration","<div class=""license-info-label"">License Duration</div>"
"templates/business_auth/license_info.html",156,"ARIA labels","Campaigns used out of limit","aria-label=""Campaigns used out of limit"""
"templates/business_auth/license_info.html",180,"ARIA labels","Users count out of limit","aria-label=""Users count out of limit"""
"templates/business_auth/license_info.html",251,"Divs with text","Add-on Start Date","<div class=""license-date-label"">Add-on Start Date</div>"
"templates/business_auth/license_info.html",252,"Divs with text","{% if transcript_analysis.start_date %}
                            {{ transcript_analysis.start_date.strftime('%B %d, %Y') if transcript_analysis.start_date is string == false else transcript_analysis.start_date }}
                        {% else %}
                            Not Set
                        {% endif %}","<div class=""license-date-value"">                         {% if transcript_analysis.start_date %}    "
"templates/business_auth/license_info.html",259,"Divs with text","{% if transcript_analysis.status == 'active' %}
                            Transcript analysis is currently active
                        {% elif transcript_analysis.status == 'scheduled' %}
                            Access will begin on this date
                        {% else %}
                            Access period has started
                        {% endif %}","<div class=""license-date-meta"">                         {% if transcript_analysis.status == 'active'"
"templates/business_auth/license_info.html",276,"Divs with text","Add-on End Date","<div class=""license-date-label"">Add-on End Date</div>"
"templates/business_auth/license_info.html",277,"Divs with text","{% if transcript_analysis.end_date %}
                            {{ transcript_analysis.end_date.strftime('%B %d, %Y') if transcript_analysis.end_date is string == false else transcript_analysis.end_date }}
                        {% else %}
                            Not Set
                        {% endif %}","<div class=""license-date-value"">                         {% if transcript_analysis.end_date %}      "
"templates/business_auth/license_info.html",284,"Divs with text","{% if transcript_analysis.days_remaining is defined and transcript_analysis.days_remaining is not none %}
                            {% if transcript_analysis.days_remaining > 0 %}
                                {{ transcript_analysis.days_remaining }} days remaining
                            {% elif transcript_analysis.days_remaining == 0 %}
                                Expires today
                            {% else %}
                                Access has expired
                            {% endif %}
                        {% else %}
                            No expiration set
                        {% endif %}","<div class=""license-date-meta"">                         {% if transcript_analysis.days_remaining is "
"templates/business_auth/license_info.html",303,"ARIA labels","Add-on period details","aria-label=""Add-on period details"""
"templates/business_auth/license_info.html",309,"Divs with text","Add-on Period","<div class=""license-info-label"">Add-on Period</div>"
"templates/business_auth/license_info.html",310,"Divs with text","{% if transcript_analysis.start_date is string == false and transcript_analysis.end_date is string == false %}
                            {{ transcript_analysis.start_date.strftime('%b %d, %Y') }} - {{ transcript_analysis.end_date.strftime('%b %d, %Y') }}
                        {% else %}
                            {{ transcript_analysis.start_date }} - {{ transcript_analysis.end_date }}
                        {% endif %}","<div class=""license-info-value"">                         {% if transcript_analysis.start_date is str"
"templates/business_auth/license_info.html",325,"Divs with text","Add-on Duration","<div class=""license-info-label"">Add-on Duration</div>"
"templates/business_auth/license_info.html",326,"Divs with text","{% if transcript_analysis.start_date is string == false and transcript_analysis.end_date is string == false %}
                            {{ ((transcript_analysis.end_date - transcript_analysis.start_date).days // 30) }} months ({{ (transcript_analysis.end_date - transcript_analysis.start_date).days }} days)
                        {% else %}
                            Not calculated
                        {% endif %}","<div class=""license-info-value"">                         {% if transcript_analysis.start_date is str"
"templates/business_auth/license_info.html",342,"Divs with text","Transcript Analysis Not Configured","<div class=""license-date-label"">Transcript Analysis Not Configured</div>"
"templates/business_auth/license_info.html",343,"Divs with text","Add-on Not Purchased","<div class=""license-date-value"">Add-on Not Purchased</div>"
"templates/business_auth/license_info.html",344,"Divs with text","Contact your administrator to enable transcript analysis capabilities.","<div class=""license-date-meta"">                 Contact your administrator to enable transcript anal"
"templates/business_auth/license_overview.html",41,"Spans","{{ account_data.license_type|title }}","<span class=""license-type license-{{ account_data.license_type }}"">                             {{ a"
"templates/business_auth/license_overview.html",47,"Spans","{{ account_data.license_status|title }}
                            {% if account_data.expires_soon and account_data.days_remaining > 0 %}
                                (Expires in {{ account_data.days_remaining }} days)
                            {% endif %}","<span class=""license-status status-{{ account_data.license_status }}"">                             {"
"templates/business_auth/licenses/assignment_form.html",92,"Divs with text","{{ usage_stats.users_count }}","<div style=""font-size: var(--font-size-2xl); font-weight: 600; color: var(--primary-red);"">         "
"templates/business_auth/licenses/assignment_form.html",102,"Divs with text","{{ usage_stats.campaigns_count }}","<div style=""font-size: var(--font-size-2xl); font-weight: 600; color: var(--primary-red);"">         "
"templates/business_auth/licenses/assignment_form.html",119,"Value attributes (buttons/inputs)","{{ csrf_token() }}","value=""{{ csrf_token() }}"""
"templates/business_auth/licenses/assignment_form.html",120,"Value attributes (buttons/inputs)","{{ business_account.id }}","value=""{{ business_account.id }}"""
"templates/business_auth/licenses/assignment_form.html",136,"Value attributes (buttons/inputs)","core","value=""core"""
"templates/business_auth/licenses/assignment_form.html",181,"Value attributes (buttons/inputs)","plus","value=""plus"""
"templates/business_auth/licenses/assignment_form.html",227,"Value attributes (buttons/inputs)","pro","value=""pro"""
"templates/business_auth/licenses/assignment_form.html",238,"Headings (h1-h6)","Pro License","<h4 class=""mb-1"" style=""font-weight: 600;"">Pro License</h4>"
"templates/business_auth/licenses/assignment_form.html",242,"Divs with text","Custom","<div style=""font-size: var(--font-size-xl); font-weight: 600; color: var(--primary-red);"">Custom</di"
"templates/business_auth/licenses/assignment_form.html",243,"Divs with text","pricing","<div class=""text-muted"" style=""font-size: var(--font-size-xs);"">pricing</div>"
"templates/business_auth/licenses/assignment_form.html",285,"Value attributes (buttons/inputs)","{{ current_license.max_users if current_license and current_license.type == 'pro' else 25 }}","value=""{{ current_license.max_users if current_license and current_license.type == 'pro' else 25 }}"""
"templates/business_auth/licenses/assignment_form.html",291,"Value attributes (buttons/inputs)","{{ current_license.max_campaigns if current_license and current_license.type == 'pro' else 100 }}","value=""{{ current_license.max_campaigns if current_license and current_license.type == 'pro' else 10"
"templates/business_auth/licenses/assignment_form.html",297,"Value attributes (buttons/inputs)","{{ current_license.max_participants_per_campaign if current_license and current_license.type == 'pro' else 10000 }}","value=""{{ current_license.max_participants_per_campaign if current_license and current_license.type "
"templates/business_auth/licenses/assignment_form.html",303,"Value attributes (buttons/inputs)","{{ current_license.max_invitations_per_campaign if current_license and current_license.type == 'pro' else 50000 }}","value=""{{ current_license.max_invitations_per_campaign if current_license and current_license.type ="
"templates/business_auth/licenses/assignment_form.html",338,"Value attributes (buttons/inputs)","{{ current_license.transcript_analysis_start_date.strftime('%Y-%m-%d') if current_license and current_license.transcript_analysis_start_date else '' }}","value=""{{ current_license.transcript_analysis_start_date.strftime('%Y-%m-%d') if current_license and"
"templates/business_auth/licenses/assignment_form.html",339,"Divs with text","When transcript analysis access begins","<div class=""form-text"">When transcript analysis access begins</div>"
"templates/business_auth/licenses/assignment_form.html",344,"Value attributes (buttons/inputs)","{{ current_license.transcript_analysis_end_date.strftime('%Y-%m-%d') if current_license and current_license.transcript_analysis_end_date else '' }}","value=""{{ current_license.transcript_analysis_end_date.strftime('%Y-%m-%d') if current_license and c"
"templates/business_auth/licenses/assignment_form.html",345,"Divs with text","When transcript analysis access expires","<div class=""form-text"">When transcript analysis access expires</div>"
"templates/business_auth/licenses/assignment_form.html",353,"Value attributes (buttons/inputs)","{{ '%.2f'|format(current_license.transcript_analysis_price|float) if current_license and current_license.transcript_analysis_price else '' }}","value=""{{ '%.2f'|format(current_license.transcript_analysis_price|float) if current_license and curr"
"templates/business_auth/licenses/assignment_form.html",355,"Divs with text","Custom pricing for this add-on period","<div class=""form-text"">Custom pricing for this add-on period</div>"
"templates/business_auth/licenses/assignment_form.html",376,"Labels","Notes (Optional)","<label for=""notes"" class=""form-label"">Notes (Optional)</label>"
"templates/business_auth/licenses/assignment_result.html",296,"Headings (h1-h6)","{% if success %}
                        License Assignment Successful!
                    {% else %}
                        License Assignment Failed
                    {% endif %}","<h1 class=""result-title"">                     {% if success %}                         License Assig"
"templates/business_auth/licenses/assignment_result.html",303,"Paragraphs","{% if success %}
                        The license has been successfully assigned to {{ business_account.name }}.
                    {% else %}
                        There was an issue assigning the license. Please review the details below.
                    {% endif %}","<p class=""result-subtitle"">                     {% if success %}                         The license"
