Risk,File,Line,Pattern,Text,Context,Reason,Auto-Fixable
RED,templates/business_auth/audit_logs.html,119,Divs with text,{{ log.user_email }},"<div class=""audit-user-email"">                                         {{ log.user_email }}         ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/audit_logs.html,133,Spans,"{{ log.action_type.replace('_', ' ') }}","<span class=""audit-action-badge {{ action_class }}""                                        role=""sta",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/audit_logs.html,135,ARIA labels,"{{ log.action_type.replace('_', ' ') }} activity","aria-label=""{{ log.action_type.replace('_', ' ') }} activity""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/audit_logs.html,140,Divs with text,{{ log.action_description }},"<div class=""audit-description"">                                     {{ log.action_description }}    ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/audit_logs.html,146,Divs with text,{{ log.resource_type or 'Resource' }}: {{ log.resource_name }},"<div class=""audit-resource"">                                         {{ log.resource_type or 'Resour",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/audit_logs.html,161,Headings (h1-h6),No Activity Yet,<h3>No Activity Yet</h3>,Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/audit_logs.html,162,Paragraphs,No audit logs found for the selected filters. Try adjusting your filters or create some test data to,<p>No audit logs found for the selected filters. Try adjusting your filters or create some test data,Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/audit_logs.html,169,ARIA labels,Pagination,"aria-label=""Pagination""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/audit_logs.html,173,ARIA labels,Go to previous page,"aria-label=""Go to previous page""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/audit_logs.html,184,Spans,Page {{ pagination.page }},"<span class=""audit-pagination-info"" aria-current=""page"">Page {{ pagination.page }}</span>",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/audit_logs.html,189,ARIA labels,Go to next page,"aria-label=""Go to next page""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/brand_config.html,59,Paragraphs,{{ branding_config.logo_filename if branding_config.logo_filename else _('No logo') ~ ' uploaded' }},"<p class=""brand-preview-value {{ 'empty' if not branding_config.logo_filename else '' }}"">          ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,68,Paragraphs,"{{ branding_config.get_company_display_name() }}
                        {% if not branding_config.c","<p class=""brand-preview-value {{ 'empty' if not branding_config.company_display_name else '' }}"">   ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,79,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,94,Value attributes (buttons/inputs),{{ branding_config.company_display_name if branding_config.company_display_name else '' }},"value=""{{ branding_config.company_display_name if branding_config.company_display_name else '' }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,95,Placeholder attributes,{{ business_account.name }},"placeholder=""{{ business_account.name }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,118,Value attributes (buttons/inputs),{{ branding_config.primary_color if branding_config.primary_color else '#dc3545' }},"value=""{{ branding_config.primary_color if branding_config.primary_color else '#dc3545' }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,132,Value attributes (buttons/inputs),{{ branding_config.secondary_color if branding_config.secondary_color else '#6c757d' }},"value=""{{ branding_config.secondary_color if branding_config.secondary_color else '#6c757d' }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,149,Value attributes (buttons/inputs),{{ branding_config.accent_color if branding_config.accent_color else '#28a745' }},"value=""{{ branding_config.accent_color if branding_config.accent_color else '#28a745' }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,163,Value attributes (buttons/inputs),{{ branding_config.text_color if branding_config.text_color else '#212529' }},"value=""{{ branding_config.text_color if branding_config.text_color else '#212529' }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/brand_config.html,180,Value attributes (buttons/inputs),{{ branding_config.background_color if branding_config.background_color else '#ffffff' }},"value=""{{ branding_config.background_color if branding_config.background_color else '#ffffff' }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/brand_config.html,190,ARIA labels,Color palette preview,"aria-label=""Color palette preview""",Accessibility label - needs screen reader testing,NO
GREEN,templates/business_auth/brand_config.html,194,Title attributes,Primary color,"title=""Primary color""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/brand_config.html,198,Title attributes,Secondary color,"title=""Secondary color""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/brand_config.html,202,Title attributes,Accent color,"title=""Accent color""",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/brand_config.html,231,ARIA labels,Upload requirements,"aria-label=""Upload requirements""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/brand_config.html,250,ARIA labels,Save brand settings,"aria-label=""Save brand settings""",Accessibility label - needs screen reader testing,NO
GREEN,templates/business_auth/business_account_onboarding.html,21,Headings (h1-h6),Business Account Onboarding,"<h1 class=""onboarding-header-title"">Business Account Onboarding</h1>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/business_account_onboarding.html,22,Paragraphs,Create a new business account and invite the account administrator,"<p class=""onboarding-header-subtitle"">Create a new business account and invite the account administr",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/business_account_onboarding.html,33,ARIA labels,Close,"aria-label=""Close""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/business_account_onboarding.html,55,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/business_account_onboarding.html,63,Headings (h1-h6),Business Account Information,"<h3 class=""section-title"">Business Account Information</h3>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/business_account_onboarding.html,74,Placeholder attributes,Enter the complete business name,"placeholder=""Enter the complete business name""",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/business_account_onboarding.html,78,Divs with text,This will be displayed throughout the platform and in communications,"<div class=""form-text"">This will be displayed throughout the platform and in communications</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/business_account_onboarding.html,93,Value attributes (buttons/inputs),{{ template_id }},"value=""{{ template_id }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/business_account_onboarding.html,102,Divs with text,Choose the license tier that best fits the business needs,"<div class=""form-text"">Choose the license tier that best fits the business needs</div>",Div content - verify not used dynamically,NO
GREEN,templates/business_auth/business_account_onboarding.html,112,Headings (h1-h6),Account Administrator Information,"<h3 class=""section-title"">Account Administrator Information</h3>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/business_account_onboarding.html,124,Placeholder attributes,Administrator's first name,"placeholder=""Administrator's first name""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/business_account_onboarding.html,138,Placeholder attributes,Administrator's last name,"placeholder=""Administrator's last name""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/business_account_onboarding.html,153,Placeholder attributes,admin@company.com,"placeholder=""admin@company.com""",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/business_account_onboarding.html,157,Divs with text,The administrator will receive an invitation email at this address,"<div class=""form-text"">The administrator will receive an invitation email at this address</div>",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/business_account_onboarding.html,168,Spans,the administrator,"<span id=""email-preview"">the administrator</span>",Span element - check for JavaScript dependencies,NO
YELLOW,templates/business_auth/business_account_onboarding.html,169,Spans,business name,"<span id=""business-preview"">business name</span>",Span element - check for JavaScript dependencies,NO
RED,templates/business_auth/email_config.html,22,Paragraphs,Configure SMTP settings for {{ business_account.name }},<p>Configure SMTP settings for {{ business_account.name }}</p>,Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/email_config.html,48,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,60,Labels,Email Provider *,"<label class=""email-form-label"" for=""email_provider"">Email Provider *</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,68,Value attributes (buttons/inputs),smtp,"value=""smtp""",Email provider value - backend dependency,NO
YELLOW,templates/business_auth/email_config.html,69,Value attributes (buttons/inputs),aws_ses,"value=""aws_ses""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,71,Divs with text,Choose your email delivery provider,"<div class=""email-help-text"" id=""email_provider_help"">Choose your email delivery provider</div>",Div content - verify not used dynamically,NO
GREEN,templates/business_auth/email_config.html,78,Labels,AWS Region *,"<label class=""email-form-label"" for=""aws_region"">AWS Region *</label>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/email_config.html,84,Value attributes (buttons/inputs),us-east-1,"value=""us-east-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,85,Value attributes (buttons/inputs),us-east-2,"value=""us-east-2""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,86,Value attributes (buttons/inputs),us-west-1,"value=""us-west-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,87,Value attributes (buttons/inputs),us-west-2,"value=""us-west-2""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,88,Value attributes (buttons/inputs),ca-central-1,"value=""ca-central-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,89,Value attributes (buttons/inputs),eu-west-1,"value=""eu-west-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,90,Value attributes (buttons/inputs),eu-west-2,"value=""eu-west-2""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,91,Value attributes (buttons/inputs),eu-west-3,"value=""eu-west-3""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,92,Value attributes (buttons/inputs),eu-central-1,"value=""eu-central-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,93,Value attributes (buttons/inputs),ap-south-1,"value=""ap-south-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,94,Value attributes (buttons/inputs),ap-northeast-1,"value=""ap-northeast-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,95,Value attributes (buttons/inputs),ap-northeast-2,"value=""ap-northeast-2""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,96,Value attributes (buttons/inputs),ap-southeast-1,"value=""ap-southeast-1""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,97,Value attributes (buttons/inputs),ap-southeast-2,"value=""ap-southeast-2""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/email_config.html,98,Value attributes (buttons/inputs),sa-east-1,"value=""sa-east-1""",Form value - verify not used by backend logic,NO
RED,templates/business_auth/email_config.html,122,Value attributes (buttons/inputs),{{ email_config.smtp_server if email_config else '' }},"value=""{{ email_config.smtp_server if email_config else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,123,Placeholder attributes,smtp.gmail.com,"placeholder=""smtp.gmail.com""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,141,Labels,Port *,"<label class=""email-form-label"" for=""smtp_port"">Port *</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,146,Value attributes (buttons/inputs),{{ email_config.smtp_port if email_config else '587' }},"value=""{{ email_config.smtp_port if email_config else '587' }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/email_config.html,167,Value attributes (buttons/inputs),{{ email_config.smtp_username if email_config else '' }},"value=""{{ email_config.smtp_username if email_config else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,168,Placeholder attributes,your-email@domain.com,"placeholder=""your-email@domain.com""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,184,Placeholder attributes,Enter SMTP password,"placeholder=""Enter SMTP password""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,237,Value attributes (buttons/inputs),{{ email_config.sender_name if email_config else business_account.name + ' Team' }},"value=""{{ email_config.sender_name if email_config else business_account.name + ' Team' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,238,Placeholder attributes,Your Company Name,"placeholder=""Your Company Name""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,252,Value attributes (buttons/inputs),{{ email_config.sender_email if email_config else '' }},"value=""{{ email_config.sender_email if email_config else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,253,Placeholder attributes,noreply@yourcompany.com,"placeholder=""noreply@yourcompany.com""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,268,Value attributes (buttons/inputs),{{ email_config.reply_to_email if email_config and email_config.reply_to_email else '' }},"value=""{{ email_config.reply_to_email if email_config and email_config.reply_to_email else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,269,Placeholder attributes,support@yourcompany.com,"placeholder=""support@yourcompany.com""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,288,Value attributes (buttons/inputs),"{{ email_config.get_admin_emails() | join(', ') if email_config and email_config.get_admin_emails() ","value=""{{ email_config.get_admin_emails() | join(', ') if email_config and email_config.get_admin_em",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,289,Placeholder attributes,"admin@yourcompany.com, manager@yourcompany.com","placeholder=""admin@yourcompany.com, manager@yourcompany.com""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,331,Value attributes (buttons/inputs),{{ email_config.custom_subject_template if email_config else '' }},"value=""{{ email_config.custom_subject_template if email_config else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,332,Placeholder attributes,Your feedback is requested: {campaign_name},"placeholder=""Your feedback is requested: {campaign_name}""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,347,Placeholder attributes,{business_account_name} is requesting your valuable feedback through our Voice of Client system.,"placeholder=""{business_account_name} is requesting your valuable feedback through our Voice of Clien",Safe display text - auto-wrappable,YES
RED,templates/business_auth/email_config.html,364,Value attributes (buttons/inputs),{{ email_config.custom_cta_text if email_config else '' }},"value=""{{ email_config.custom_cta_text if email_config else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/email_config.html,365,Placeholder attributes,Complete Your Survey,"placeholder=""Complete Your Survey""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,380,Placeholder attributes,Your feedback helps improve services and experiences. The survey should take just a few minutes to c,"placeholder=""Your feedback helps improve services and experiences. The survey should take just a few",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,394,Placeholder attributes,"This is an automated message. If you have any questions, please contact the organization that sent t","placeholder=""This is an automated message. If you have any questions, please contact the organizatio",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,486,Placeholder attributes,test@example.com,"placeholder=""test@example.com""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,618,Paragraphs,Preview failed: ' + (data.error || 'Unknown error') + ',"<p style=""color: #dc3545;"">Preview failed: ' + (data.error || 'Unknown error') + '</p>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/email_config.html,622,Paragraphs,Network error: ' + error.message + ',"<p style=""color: #dc3545;"">Network error: ' + error.message + '</p>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/forgot_password.html,27,ARIA labels,Close,"aria-label=""Close""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/forgot_password.html,37,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/license_info.html,27,ARIA labels,Account type,"aria-label=""Account type""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/license_info.html,64,Divs with text,License Purchase Date,"<div class=""license-date-label"">License Purchase Date</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/license_info.html,65,Divs with text,"{% if license_start %}
                            {{ license_start.strftime('%B %d, %Y') }}
       ","<div class=""license-date-value"">                         {% if license_start %}                     ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/license_info.html,72,Divs with text,"{% if license_start %}
                            {{ license_start.strftime('%A') }} - {{ days_sinc","<div class=""license-date-meta"">                         {% if license_start %}                      ",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/license_info.html,87,Divs with text,License Expiry Date,"<div class=""license-date-label"">License Expiry Date</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/license_info.html,88,Divs with text,"{% if license_end %}
                            {{ license_end.strftime('%B %d, %Y') }}
           ","<div class=""license-date-value"">                         {% if license_end %}                       ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/license_info.html,95,Divs with text,"{% if days_remaining is not none %}
                            {% if days_remaining > 0 %}
        ","<div class=""license-date-meta"">                         {% if days_remaining is not none %}         ",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/license_info.html,114,ARIA labels,License period details,"aria-label=""License period details""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/license_info.html,120,Divs with text,License Period,"<div class=""license-info-label"">License Period</div>",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/license_info.html,130,Divs with text,License Duration,"<div class=""license-info-label"">License Duration</div>",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/license_info.html,156,ARIA labels,Campaigns used out of limit,"aria-label=""Campaigns used out of limit""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/license_info.html,180,ARIA labels,Users count out of limit,"aria-label=""Users count out of limit""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/license_info.html,251,Divs with text,Add-on Start Date,"<div class=""license-date-label"">Add-on Start Date</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/license_info.html,252,Divs with text,"{% if transcript_analysis.start_date %}
                            {{ transcript_analysis.start_dat","<div class=""license-date-value"">                         {% if transcript_analysis.start_date %}    ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/license_info.html,259,Divs with text,"{% if transcript_analysis.status == 'active' %}
                            Transcript analysis is c","<div class=""license-date-meta"">                         {% if transcript_analysis.status == 'active'",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/license_info.html,276,Divs with text,Add-on End Date,"<div class=""license-date-label"">Add-on End Date</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/license_info.html,277,Divs with text,"{% if transcript_analysis.end_date %}
                            {{ transcript_analysis.end_date.st","<div class=""license-date-value"">                         {% if transcript_analysis.end_date %}      ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/license_info.html,284,Divs with text,{% if transcript_analysis.days_remaining is defined and transcript_analysis.days_remaining is not no,"<div class=""license-date-meta"">                         {% if transcript_analysis.days_remaining is ",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/license_info.html,303,ARIA labels,Add-on period details,"aria-label=""Add-on period details""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/license_info.html,309,Divs with text,Add-on Period,"<div class=""license-info-label"">Add-on Period</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/license_info.html,310,Divs with text,{% if transcript_analysis.start_date is string == false and transcript_analysis.end_date is string =,"<div class=""license-info-value"">                         {% if transcript_analysis.start_date is str",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/license_info.html,325,Divs with text,Add-on Duration,"<div class=""license-info-label"">Add-on Duration</div>",Div content - verify not used dynamically,NO
